TJAC;3;3-SAJ
TJAL;3;3-SAJ
TJDFT;1;1-Pje
TJGO;2;2-Projudi
TJMRS;4;4-EPROC
TJMS;3;3-SAJ
TJMSP;1;1-Pje
TJPA;1;1-Pje
TJPB;1;1-Pje
TJPE;1;1-Pje
TJPR;2;2-Projudi
TJRR;2;2-Projudi
TJSC;4;4-EPROC
TJSP;3;3-SAJ
TRE-AC;1;1-Pje
TRE-AL;1;1-Pje
TREAM;1;1-Pje
TRE-AP;1;1-Pje
TRE-BA;1;1-Pje
TRE-CE;1;1-Pje
TRE-DF;1;1-Pje
TRE-ES;1;1-Pje
TRE-GO;1;1-Pje
TRE-MA;1;1-Pje
TRE-MG;1;1-Pje
TRE-MS;1;1-Pje
TRE-MT;1;1-Pje
TREPA;1;1-Pje
TRE-PB;1;1-Pje
TRE-PE;1;1-Pje
TRE-PI;1;1-Pje
TRE-PR;1;1-Pje
TRERJ;1;1-Pje
TRE-RN;1;1-Pje
TRE-RO;1;1-Pje
TRE-RR;1;1-Pje
TRE-RS;1;1-Pje
TRE-SC;1;1-Pje
TRE-SE;1;1-Pje
TRE-SP;1;1-Pje
TRE-TO;1;1-Pje
TRF4;4;4-EPROC
TRF5;1;1-Pje
TRT1;1;1-Pje
TRT10;1;1-Pje
TRT12;1;1-Pje
TRT13;1;1-Pje
TRT15;1;1-Pje
TRT16;1;1-Pje
TRT17;1;1-Pje
TRT18;1;1-Pje
TRT19;1;1-Pje
TRT2;1;1-Pje
TRT20;1;1-Pje
TRT21;1;1-Pje
TRT22;1;1-Pje
TRT24;1;1-Pje
TRT3;1;1-Pje
TRT4;1;1-Pje
TRT5;1;1-Pje
TRT6;1;1-Pje
TRT7;1;1-Pje
TRT8;1;1-Pje
TRT9;1;1-Pje
TST;1;1-Pje
